NAME OF COMPANY, ISIN NUMBER
BENGAL & ASSAM COMPANY LTD.,INE083K01017
BENGAL TEA & FABRICS LTD.,INE665D01016
Berger Paints (I) Limited,INE463A01038
BERVIN INVESTMENT & LEASING LT,INE348I01018
BERYL DRUGS LTD.,INE415H01017
BERYL SECURITIES LTD.,INE508J01015
Best Agrolife Limited,INE052T01013
BEST AGROLIFE LIMITED,INE052T01021
BEST EASTERN HOTELS LTD.,INE553F01035
Beta Drugs Limited,INE351Y01019
BETEX INDIA LTD.,INE765L01017
BF Investment Limited,INE878K01010
BF Utilities Limited,INE243D01012
BFL Asset Finvest Limited,INE948Q01018
BGIL FILMS & TECHNOLOGIES LTD.,INE443D01018
BGR Energy Systems Limited,INE661I01014
Bhageria Industries Limited,INE354C01027
BHAGIRADHA CHEMICALS & INDUSTR,INE414D01027
BHAGWATI AUTOCAST LTD.,INE106G01014
BHAGWATI OXYGEN LTD.,INE026I01010
Bhagyanagar India Limited,INE458B01036
Bhakti Gems And Jewellery Limi,INE986W01016
Bhandari Hosiery Exports Limited,INE474E01029
BHANSALI ENGINEERING POLYMERS,INE922A01025
BHARAT AGRI FERT & REALTY LTD.,INE842D01029
Bharat Bhushan Finance & Commo,INE900A01013
Bharat Bijlee Limited,INE464A01036
BHARAT COKING COAL LIMITED,INE05XR01022
Bharat Dynamics Limited,INE171Z01026
Bharat Electronics Limited,INE263A01024
Bharat Forge Limited,INE465A01025
